doc_id,"text"
1,"The Sapir-Whorf hypothesis suggests language influences thought."
2,"Cognitive dissonance occurs when beliefs contradict behaviors."
3,"Plato's allegory of the cave explores perception vs. reality."
4,"Object-oriented programming focuses on creating reusable code."
5,"Chomsky's universal grammar theory proposes innate language ability."
6,"The bystander effect explains reduced helping in crowds."
7,"Descartes' 'I think, therefore I am' establishes existence."
8,"Machine learning algorithms improve with more data."
9,"Phonemes are the smallest units of sound in language."
10,"The halting problem proves some computations are undecidable."

